Class,CSORD_CountLineCodeExe,CSORD_CountDeclMethodPublic,CSORD_MinLineCode,PK_SDLineCodeExe,CSORD_SumCSNOPNAMM,PK_MinLineCode,CSORD_AvgKnots,CSORD_MaxCSNOPNAMM,CSORD_SDCountPath,PK_CountDeclFile,PK_AvgCyclomaticModified,CSORD_MaxCountPath,CSORD_MinStmtDeclNAMM,CSORD_MinEssentialNAMM,CSORD_MinEssentialNAMM,CSORD_SDCSNOPNAMM,CSORD_CountDeclClassMethod,PK_MaxCyclomaticModified,CSORD_MinCSNOPNAMM,CSORD_MinCSNOP,CSORD_NOII,PK_CountDeclMethodPrivate,CSLEX_NumberOfSuperStatements,CSORD_CountDeclClassVariable,CSORD_MaxInheritanceTree,CSORD_CountClassBase,CSORD_NumberOfMethodCalls,CSORD_CountClassDerived,CSORD_NumberOfMethodCalls,CSORD_CountDeclMethodDefault,CSORD_CountDeclMethodProtected,CSORD_CountDeclMethodDefault,CSORD_CountClassDerived,CSORD_NIM,PK_AvgEssential,CSORD_CountClassBase,CSORD_NIM,PK_AvgEssential,CSORD_CountDeclMethodPrivate,CSORD_CountClassBase,CSORD_NumberOfDependsBy,CSORD_NIM,CSORD_NumberOfMethodCalls,CSORD_MinKnots,PK_AvgEssential,Testability
CharacterEventSet,7,1,10,0.0,1,0,0.0,1,0.0,0,0,3,6,1,1,0.0,0,0,1,1,24,0,0,0,2,1,0,0,0,0,0,0,0,13,0,1,13,0,0,1,1,13,0,0,0,0.34956
CrossEntropyDriver,9,1,14,0.0,2,0,0.0,2,0.0,0,0,3,6,1,1,0.0,0,0,2,2,24,0,0,0,2,1,0,0,0,0,0,0,0,13,0,1,13,0,0,1,1,13,0,0,0,0.3122666666666666
Document,33,11,3,0.0,4,0,0.0909090909090909,2,0.6428243465332251,0,0,3,1,1,1,0.7453559924999301,0,0,0,0,24,0,0,0,1,1,0,0,0,0,0,0,0,12,0,1,12,0,0,1,6,12,0,0,0,0.7900314960629922
Event,10,8,3,0.0,4,0,0.0,1,0.0,0,0,1,1,1,1,0.4948716593053935,0,0,0,0,24,0,0,0,1,2,0,0,0,0,0,0,0,12,0,2,12,0,0,2,4,12,0,0,0,0.7619047619047619
EventSet,12,8,3,0.0,4,0,0.0,2,0.3307189138830738,0,0,2,1,1,1,0.7453559924999301,0,0,0,0,24,0,0,0,1,1,1,0,1,0,0,0,0,12,0,1,12,0,0,1,10,12,1,0,0,0.611840347601264
NormalizeWhitespace,10,1,15,0.0,1,0,1.0,1,0.0,0,0,4,4,1,1,0.0,0,0,1,1,24,0,0,0,2,1,0,0,0,0,0,0,0,13,0,1,13,0,0,1,1,13,0,1,0,0.5073920000000001
StripHTML,8,1,11,0.0,1,0,1.0,1,0.0,0,0,4,3,1,1,0.0,0,0,1,1,24,0,0,0,2,1,0,0,0,0,0,0,0,13,0,1,13,0,0,1,1,13,0,1,0,0.5021013333333333
UnifyCase,3,1,5,0.0,1,0,0.0,1,0.0,0,0,2,2,1,1,0.0,0,0,1,1,24,0,0,0,2,1,0,0,0,0,0,0,0,13,0,1,13,0,0,1,1,13,0,0,0,0.3507599999999999
jgaap,9,1,7,0.0,1,0,0.0,1,0.0,0,0,1,2,1,1,0.5,2,0,0,0,24,0,0,0,1,1,0,0,0,0,0,0,0,12,0,1,12,0,1,1,1,12,0,0,0,0.291
com.sap.engine.services.dc.wsgate.Application,117,19,2,102.63297472060331,7,5,0.2631578947368421,6,14.269274276067824,20,1,65,1,1,1,2.48746859276655,3,13,0,0,21,2,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,13,12,6,0,1,0.7491413043478259
com.sap.engine.services.dc.wsgate.ArchiveFile,63,11,2,102.63297472060331,3,5,0.4545454545454545,2,2.466301812045552,20,1,9,1,1,1,0.82915619758885,3,13,0,0,21,2,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,6,12,6,0,1,0.7189322493224932
com.sap.engine.services.dc.wsgate.Deploy,75,15,2,102.63297472060331,3,5,0.3333333333333333,2,4.044200236827494,20,1,17,1,1,1,0.82915619758885,3,13,0,0,21,2,0,1,1,2,7,0,7,0,0,0,0,12,1,2,12,1,0,2,1,12,7,0,1,0.7028382076322502
com.sap.engine.services.dc.wsgate.DeployFault,58,12,2,102.63297472060331,5,5,0.4166666666666667,2,1.4907119849998596,20,1,5,1,1,1,0.8944271909999159,3,13,0,0,21,2,0,1,2,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,3,12,6,0,1,0.7375024154589372
com.sap.engine.services.dc.wsgate.DeployLocal,75,15,2,102.63297472060331,3,5,0.3333333333333333,2,4.044200236827494,20,1,17,1,1,1,0.82915619758885,3,13,0,0,21,2,0,1,1,2,7,0,7,0,0,0,0,12,1,2,12,1,0,2,1,12,7,0,1,0.7028382076322502
com.sap.engine.services.dc.wsgate.DeployLocalResponse,42,9,2,102.63297472060331,2,5,0.5555555555555556,1,1.3333333333333333,20,1,5,1,1,1,0.5,3,13,0,0,21,2,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,1,12,6,0,1,0.6317037037037037
com.sap.engine.services.dc.wsgate.DeployResponse,42,9,2,102.63297472060331,2,5,0.5555555555555556,1,1.3333333333333333,20,1,5,1,1,1,0.5,3,13,0,0,21,2,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,1,12,6,0,1,0.6317037037037037
com.sap.engine.services.dc.wsgate.DeployResult,81,15,2,102.63297472060331,4,5,0.3333333333333333,3,4.044200236827494,20,1,17,1,1,1,1.224744871391589,3,13,0,0,21,2,0,1,1,2,7,0,7,0,0,0,0,12,1,2,12,1,0,2,10,12,7,0,1,0.6940538308860369
com.sap.engine.services.dc.wsgate.DeployWSPortTypeBindingStub,509,10,3,102.63297472060331,13,5,4.333333333333333,2,174.55013606411197,20,1,641,1,1,1,0.9000000000000001,1,13,0,0,21,2,26,1,2,2,1,0,1,0,1,0,0,12,1,2,12,1,1,2,1,12,1,0,1,0.4694010416666667
com.sap.engine.services.dc.wsgate.DeployWSPortTypeProxy,41,12,3,102.63297472060331,11,5,0.1538461538461538,2,0.7297563831157798,20,1,4,1,1,1,0.8569568250501305,0,13,0,0,21,2,0,0,1,2,0,0,0,0,0,0,0,12,1,2,12,1,1,2,0,12,0,0,1,0.0976666666666666
com.sap.engine.services.dc.wsgate.DeployWSServiceLocator,47,15,2,102.63297472060331,3,5,0.5333333333333333,2,0.7180219742846006,20,1,3,1,1,1,0.8164965809277259,0,13,0,0,21,2,2,0,2,2,0,0,0,0,0,0,0,12,1,2,12,1,0,2,3,12,0,0,1,0.7121796690307329
com.sap.engine.services.dc.wsgate.GetVersion,27,6,2,102.63297472060331,1,5,0.8333333333333334,1,1.462494064565354,20,1,5,2,1,1,0.5,3,13,0,0,21,2,0,1,1,2,1,0,1,0,0,0,0,12,1,2,12,1,0,2,1,12,1,0,1,0.4314655172413792
com.sap.engine.services.dc.wsgate.GetVersionResponse,42,9,2,102.63297472060331,1,5,0.5555555555555556,1,1.3333333333333333,20,1,5,2,1,1,0.5,3,13,0,0,21,2,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,1,12,6,0,1,0.639578947368421
com.sap.engine.services.dc.wsgate.Option,57,11,2,102.63297472060331,3,5,0.4545454545454545,2,1.5427784316797395,20,1,5,1,1,1,0.82915619758885,3,13,0,0,21,2,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,10,12,6,0,1,0.7581864406779661
com.sap.engine.services.dc.wsgate.Start,75,15,2,102.63297472060331,3,5,0.3333333333333333,2,4.044200236827494,20,1,17,1,1,1,0.82915619758885,3,13,0,0,21,2,0,1,1,2,7,0,7,0,0,0,0,12,1,2,12,1,0,2,1,12,7,0,1,0.7017961786755519
com.sap.engine.services.dc.wsgate.Stop,75,15,2,102.63297472060331,3,5,0.3333333333333333,2,4.044200236827494,20,1,17,1,1,1,0.82915619758885,3,13,0,0,21,2,0,1,1,2,7,0,7,0,0,0,0,12,1,2,12,1,0,2,1,12,7,0,1,0.7038704724007755
com.sap.engine.services.dc.wsgate.Undeploy,75,15,2,102.63297472060331,3,5,0.3333333333333333,2,4.044200236827494,20,1,17,1,1,1,0.82915619758885,3,13,0,0,21,2,0,1,1,2,7,0,7,0,0,0,0,12,1,2,12,1,0,2,1,12,7,0,1,0.7017961786755519
com.sap.engine.services.dc.wsgate.UndeployResponse,42,9,2,102.63297472060331,2,5,0.5555555555555556,1,1.3333333333333333,20,1,5,1,1,1,0.5,3,13,0,0,21,2,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,1,12,6,0,1,0.6343736263736263
com.sap.managementconsole.soap.axis.sapcontrol.AccessPoint,98,17,2,425.02920615759626,6,5,0.2941176470588235,5,3.823076896299277,46,1,17,1,1,1,2.0615528128088303,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,6,12,6,0,1,0.720455302261495
com.sap.managementconsole.soap.axis.sapcontrol.Alert,131,21,2,425.02920615759626,8,5,0.2380952380952381,7,27.22943585296523,46,1,129,1,1,1,2.9154759474226504,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,3,12,6,0,1,0.7721559906005859
com.sap.managementconsole.soap.axis.sapcontrol.AlertNode,185,29,2,425.02920615759626,12,5,0.1724137931034483,11,186.8201396156016,46,1,1025,1,1,1,4.636809247747852,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.8169360972147106
com.sap.managementconsole.soap.axis.sapcontrol.DirEntry,68,13,2,425.02920615759626,4,5,0.3846153846153846,3,1.4432048491764398,46,1,5,1,1,1,1.224744871391589,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.7574931506849317
com.sap.managementconsole.soap.axis.sapcontrol.EnqLock,195,31,2,425.02920615759626,13,5,0.1612903225806451,12,90.4417646840636,46,1,513,1,1,1,4.715930449020639,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.8218342907040358
com.sap.managementconsole.soap.axis.sapcontrol.GCInfo,197,35,2,425.02920615759626,15,5,0.1428571428571428,14,2.7285340311573307,46,1,17,1,1,1,5.931905258852336,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.8945510752688173
com.sap.managementconsole.soap.axis.sapcontrol.GCInfo2,222,39,2,425.02920615759626,17,5,0.1282051282051282,16,5.0808065954875214,46,1,33,1,1,1,6.796138609534093,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.8937793998377941
com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,126,23,2,425.02920615759626,9,5,0.217391304347826,8,1.7905443723455654,46,1,9,1,1,1,3.344772040064913,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.776749021003916
com.sap.managementconsole.soap.axis.sapcontrol.ICMCacheEntry,150,25,2,425.02920615759626,10,5,0.2,9,12.533219857642331,46,1,65,1,1,1,3.521363372331802,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.8046669624307476
com.sap.managementconsole.soap.axis.sapcontrol.ICMConnection,187,31,2,425.02920615759626,13,5,0.1612903225806451,12,22.603122453346987,46,1,129,1,1,1,5.068283733178324,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.8240769688553861
com.sap.managementconsole.soap.axis.sapcontrol.ICMProxyConnection,266,41,2,425.02920615759626,18,5,0.1219512195121951,17,1263.6617292976837,46,1,8193,1,1,1,7.22841614740048,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.8471289046230738
com.sap.managementconsole.soap.axis.sapcontrol.ICMThread,98,17,2,425.02920615759626,6,5,0.2941176470588235,5,3.823076896299277,46,1,17,1,1,1,2.0615528128088303,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.71815625
com.sap.managementconsole.soap.axis.sapcontrol.InstanceProperty,72,13,2,425.02920615759626,4,5,0.3846153846153846,3,2.3025583918608867,46,1,9,1,1,1,1.224744871391589,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,3,12,6,0,1,0.764344370860927
com.sap.managementconsole.soap.axis.sapcontrol.InstanceVersionInfo,72,13,2,425.02920615759626,4,5,0.3846153846153846,3,2.3025583918608867,46,1,9,1,1,1,1.224744871391589,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.7623087248322146
com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,98,17,2,425.02920615759626,6,5,0.2941176470588235,5,3.823076896299277,46,1,17,1,1,1,2.0615528128088303,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.7194322916666667
com.sap.managementconsole.soap.axis.sapcontrol.J2EECache,244,43,2,425.02920615759626,19,5,0.1162790697674418,18,4.846145591676692,46,1,33,1,1,1,7.66077672302228,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.9061138392857142
com.sap.managementconsole.soap.axis.sapcontrol.J2EECache2,259,45,2,425.02920615759626,20,5,0.1111111111111111,19,9.438978810637003,46,1,65,1,1,1,8.093207028119322,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.8553219087550987
com.sap.managementconsole.soap.axis.sapcontrol.J2EEClusterMsg,156,29,2,425.02920615759626,12,5,0.1724137931034483,11,1.0135819625309703,46,1,5,1,1,1,4.636809247747852,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.8762683706070288
com.sap.managementconsole.soap.axis.sapcontrol.J2EEEJBSession,232,37,2,425.02920615759626,16,5,0.1351351351351351,15,166.03730208293643,46,1,1025,1,1,1,6.363961030678928,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.8558496700994594
